Vahetama;1) objekt + milleks? 2) objekt + kellega? 3) objekt + mille vastu?;1) Vaheta kroon sentideks. 2) Vahetan marke sõpradega. 3) Vahetan korteri maja vastu.;Менять/Обменивать;To exchange/Change;Dəyişmək
Vaidlema;1) kellega? 2) mille üle?;1) Ema vaidles isaga. 2) Vaidlesime filmi üle.;Спорить;To argue/Debate;Mübahisə etmək
Vajama;keda? mida?;Ma vajan suurt sõnaraamatut.;Нуждаться;To need;Ehtiyac duymaq
Valetama;kellele?;Poiss valetas sõbrale.;Врать/Лгать;To lie;Yalan demək
Valmistuma;1) milleks? 2) ma-infinitiiv;1) Valmistume peoks. 2) Valmistusime lahkuma.;Готовиться;To prepare;Hazırlaşmaq
Varastama;1) kust? + objekt 2) kellelt? + objekt;1) Poiss varastas poest jäätise. 2) Vanalt naiselt varastati käekott.;Воровать/Красть;To steal;Oğurlamaq
Vihkama;keda? mida?;Triin vihkab virisemist.;Ненавидеть;To hate;Nifrət etmək
Viima;1) objekt + (kust? +) kuhu? 2) ma-infinitiiv 3) objekt + kellele?;1) Võin sind autoga (töölt) koju viia. 2) Ma viin su sööma. 3) Viin lilled emale.;Вести/Отвозить;To take/Lead;Aparmaq
Viitsima;da-infinitiiv;Ma ei viitsi praegu õppida.;Хватать сил/Не лениться;To bother/Have the energy;Həvəsi olmaq/Ərinməmək
Võistlema;1) milles? 2) kellega? millega?;1) Võistlesime jalgpallis. 2) Võistlesime naaberkooliga.;Соревноваться;To compete;Yarışmaq
Väljuma;kust?;Väljusin bussist Tartus.;Выходить/Покидать;To exit/Leave;Çıxmaq/Tərk etmək
Vältima;keda? mida?;Kas sa väldid temaga kohtumist?;Избегать;To avoid;Çəkinmək
Õppima;1) mida? 2) ma-infinitiiv 3) kust? Millest? 4) kellelt? 5) kelleks?;1) Mart õpib matemaatikat. 2) Tiiu õppis ujuma. 3) Õppisin vanast õpikust. 4) Õppisin luuletuse emalt. 5) Rein õppis ülikoolis arstiks.;Учиться/Изучать;To study/Learn;Öyrənmək
Ähvardama;1) keda? + millega? 2) da-infinitiiv;1) Kurjategija ähvardas teda noaga. 2) Mees ähvardas katuselt alla hüpata.;Угрожать;To threaten;Hədələmək
Üllatama;keda? (+ millega?);Mees üllatas naist (lilledega).;Удивлять;To surprise;Təəccübləndirmək
Üürima;1) objekt + kellele? 2? objekt + kellelt?;1) Naine üüris oma korteri üliõpilastele. 2) Üürin korterit ühelt tuttavalt.;Сдавать/Снимать (в аренду);To rent/Lease;Kirayə vermək/götürmək
Alla kirjutama;millele?;Kas sa kirjutasid dokumendile alla?;Подписывать;To sign;İmzalamaq
Andeks andma;kellele?;Ema andis lapsele andeks.;Прощать;To forgive;Bağışlamaq
Aru saama;kellest? millest?;Ma ei saa sellest sõnast aru.;Понимать;To understand;Başa düşmək
Ette heitma;mida? (+ kellele?);Peeter heidab (Mardile) ette tema ebaviisakat käitumist.;Упрекать;To reproach/Blame;Qınamaq/Danlamaq
Haiget tegema;kellele? (+ millega?);Tegin (oma jutuga) tahtmatult sõbrale haiget.;Делать больно;To hurt;İncitmək
Hakkama saama;millega?;Rein saab oma tööga suurepäraselt hakkama.;Справляться;To cope/Manage;Öhdəsindən gəlmək
Hoolt kandma;kelle? mille eest?;Toomas peab oma pere eest hoolt kandma.;Заботиться;To care for;Qayğısına qalmaq
Jagu saama;kellest? millest?;Sain raskest ülesandest jagu.;Преодолевать;To overcome;Öhdəsindən gəlmək
Juttu ajama;kellega?;Ema ajas isaga juttu.;Беседовать/Разговаривать;To chat/Talk;Söhbət etmək
Kaasa tundma;kellele?;Sõbrad tundsid Marile kaasa.;Сочувствовать;To sympathize;Hisslərini bölüşmək/Rəğbət bəsləmək
